id,epoch_ms,datetime_utc,latitude,longitude,type
1240,1688323387000.0,2023-07-02 18.43.07.000,1.9621403541854674,124.53181110180553,0
1241,1688323392000.0,2023-07-02 18.43.12.000,-0.49600638789311047,125.08289818176571,1
1242,1688323393000.0,2023-07-02 18.43.13.000,-0.6688020142132118,124.59439141830904,0
1243,1688323430000.0,2023-07-02 18.43.50.000,-0.9770106885036318,123.94466715348258,2
1244,1688323430000.0,2023-07-02 18.43.50.000,2.692582237821643,124.69391561529626,0
1245,1688323437000.0,2023-07-02 18.43.57.000,1.7637037011518488,124.18285122546264,0
1246,1688323450000.0,2023-07-02 18.44.10.000,-0.9947730292382193,123.71263356754099,0
1247,1688323473000.0,2023-07-02 18.44.33.000,2.5493442542350406,125.26539838278474,2
1248,1688323474000.0,2023-07-02 18.44.34.000,2.0639804750916855,123.9342093944184,2
1249,1688323489000.0,2023-07-02 18.44.49.000,-0.4454430284850091,125.02502129462681,2
1250,1688323538000.0,2023-07-02 18.45.38.000,2.2504095542322724,124.57852430987883,0
1251,1688323541000.0,2023-07-02 18.45.41.000,2.0240530848379352,124.53883523691843,2
1252,1688323586000.0,2023-07-02 18.46.26.000,-2.0554105531877997,124.1619383753589,2
1253,1688323590000.0,2023-07-02 18.46.30.000,2.427020256015032,125.1679750759383,2
1254,1688323595000.0,2023-07-02 18.46.35.000,2.7633424125021775,124.9058993611897,2
1255,1688323611000.0,2023-07-02 18.46.51.000,2.408771748506157,124.72082317542103,0
1256,1688323619000.0,2023-07-02 18.46.59.000,2.618293325566657,124.5773216871649,2
1257,1688323623000.0,2023-07-02 18.47.03.000,1.5646387576861531,123.95244803739644,2
1258,1688323624000.0,2023-07-02 18.47.04.000,2.063775019266928,123.9053530113888,0
1259,1688323633000.0,2023-07-02 18.47.13.000,2.535564449760401,125.2421595575187,2
1260,1688323637000.0,2023-07-02 18.47.17.000,-1.294638400322003,123.26958902377848,0
1261,1688323640000.0,2023-07-02 18.47.20.000,1.9455172067573316,124.2737607103592,0
1262,1688323646000.0,2023-07-02 18.47.26.000,2.6257559850540066,124.85649033970442,2
1263,1688323647000.0,2023-07-02 18.47.27.000,1.8915386979845268,124.48404433657824,2
1264,1688323655000.0,2023-07-02 18.47.35.000,2.518781480586031,124.63064493631775,2
1265,1688323661000.0,2023-07-02 18.47.41.000,2.433213977314758,124.60942055455338,0
1266,1688323665000.0,2023-07-02 18.47.45.000,2.4508843909004456,124.76863146038644,2
1267,1688323666000.0,2023-07-02 18.47.46.000,2.5004137982982866,124.89930084740155,0
1268,1688323669000.0,2023-07-02 18.47.49.000,-2.718593454819841,124.88629499416389,0
1269,1688323671000.0,2023-07-02 18.47.51.000,2.364717713023228,125.08958844724881,2
1270,1688323676000.0,2023-07-02 18.47.56.000,2.611729379039327,124.76877702562311,0
1271,1688323677000.0,2023-07-02 18.47.57.000,2.607320471682091,124.89875722660977,0
1272,1688323677000.0,2023-07-02 18.47.57.000,2.4696205752984146,124.66338940468759,2
1273,1688323680000.0,2023-07-02 18.48.00.000,2.5902993355181048,125.26490722716436,2
1274,1688323686000.0,2023-07-02 18.48.06.000,-0.5433260430584462,126.18720127982319,2
1275,1688323687000.0,2023-07-02 18.48.07.000,-1.3468778462691786,123.7585082404301,0
1276,1688323701000.0,2023-07-02 18.48.21.000,2.474607595804306,124.75186070747948,0
1277,1688323705000.0,2023-07-02 18.48.25.000,2.528426921834569,124.69037150133623,2
1278,1688323712000.0,2023-07-02 18.48.32.000,2.781682815596938,124.63639369065216,2
1279,1688323719000.0,2023-07-02 18.48.39.000,2.352333172003647,125.04831892392573,2
1280,1688323722000.0,2023-07-02 18.48.42.000,-1.7912733669954934,123.05045411260616,0
1281,1688323722000.0,2023-07-02 18.48.42.000,2.746317686973006,124.64398776664774,2
1282,1688323724000.0,2023-07-02 18.48.44.000,1.7541257833151769,124.02043998460414,2
1283,1688323729000.0,2023-07-02 18.48.49.000,2.2398270823393838,124.9651741117062,2
1284,1688323729000.0,2023-07-02 18.48.49.000,2.6353768926862275,124.86360796883493,2
1285,1688323729000.0,2023-07-02 18.48.49.000,2.1851517686067967,124.4149914660014,2
1286,1688323730000.0,2023-07-02 18.48.50.000,2.6635266362554475,124.66235220279941,2
1287,1688323730000.0,2023-07-02 18.48.50.000,2.4320920436236735,124.62973603965048,2
1288,1688323732000.0,2023-07-02 18.48.52.000,2.435731175227829,125.12961287575611,2
1289,1688323745000.0,2023-07-02 18.49.05.000,2.4347195530012296,125.16251812122093,2
1290,1688323748000.0,2023-07-02 18.49.08.000,2.423014875512954,125.10909883062611,2
1291,1688323750000.0,2023-07-02 18.49.10.000,-1.1007667354471768,123.61460001561244,0
1292,1688323755000.0,2023-07-02 18.49.15.000,2.482702226248451,124.54478582600606,2
1293,1688323756000.0,2023-07-02 18.49.16.000,2.179685980770315,124.88814710405082,2
1294,1688323757000.0,2023-07-02 18.49.17.000,3.8397391448884095,125.62907231162232,0
1295,1688323769000.0,2023-07-02 18.49.29.000,-0.7953550363623711,123.36082205425741,0
1296,1688323774000.0,2023-07-02 18.49.34.000,2.496114837051489,124.91823987692757,2
1297,1688323774000.0,2023-07-02 18.49.34.000,2.4191450742775045,124.89827210004506,0
1298,1688323779000.0,2023-07-02 18.49.39.000,2.4287897181790554,124.56494465034794,2
1299,1688323780000.0,2023-07-02 18.49.40.000,2.6946466417354054,124.73979449048365,2
1300,1688323785000.0,2023-07-02 18.49.45.000,2.3598906690319827,125.15220473273332,2
1301,1688323794000.0,2023-07-02 18.49.54.000,2.6041027847667393,124.81852016814376,2
1302,1688323801000.0,2023-07-02 18.50.01.000,2.471698476788018,124.79292128509698,2
1303,1688323804000.0,2023-07-02 18.50.04.000,2.4076746653881584,124.76247663791703,2
1304,1688323806000.0,2023-07-02 18.50.06.000,2.433890003148041,125.24114262870496,2
1305,1688323807000.0,2023-07-02 18.50.07.000,-0.9041528234343368,125.90367813023373,2
1306,1688323812000.0,2023-07-02 18.50.12.000,2.3221773131578853,125.16953064433491,2
1307,1688323815000.0,2023-07-02 18.50.15.000,1.833236545986802,124.08228029798457,2
1308,1688323817000.0,2023-07-02 18.50.17.000,-1.4242720060927925,123.62682024016125,0
1309,1688323824000.0,2023-07-02 18.50.24.000,2.3564897807717715,125.20520536430043,2
1310,1688323827000.0,2023-07-02 18.50.27.000,2.1695225789677104,125.11184649849721,2
1311,1688323835000.0,2023-07-02 18.50.35.000,2.1369572677097786,125.11301945934619,2
1312,1688323845000.0,2023-07-02 18.50.45.000,2.5546591778587358,124.7510956111269,2
1313,1688323847000.0,2023-07-02 18.50.47.000,2.546112576964762,124.89861209097452,2
1314,1688323852000.0,2023-07-02 18.50.52.000,2.5132084990831878,124.76652135771519,2
1315,1688323857000.0,2023-07-02 18.50.57.000,-0.7013471406923395,124.1305577956767,0
1316,1688323861000.0,2023-07-02 18.51.01.000,2.323386583873653,125.28128934379656,2
1317,1688323866000.0,2023-07-02 18.51.06.000,2.3479748195842434,125.2772217382961,2
